inst,pin,x,y,dist_left,dist_right,dist_bottom,dist_top
P1.IR[18]$_DFF_PP0_,Q,500.06253,329.53128,500.0625305175781,371.9374694824219,329.5312805175781,537.6562194824219
_07493_,A,513.6042,315.39587,513.6041870117188,358.39581298828125,315.3958740234375,551.7916259765625
_07498_,A,523.48334,322.20837,523.4833374023438,348.51666259765625,322.2083740234375,544.9791259765625
_07588_,B,510.45837,369.76044,510.4583740234375,361.5416259765625,369.76043701171875,497.42706298828125
_07589_,C,507.05627,354.77502,507.0562744140625,364.9437255859375,354.7750244140625,512.4124755859375
_07590_,B,508.27502,363.95837,508.2750244140625,363.7249755859375,363.9583740234375,503.2291259765625
_07592_,A,514.48334,356.89587,514.4833374023438,357.51666259765625,356.8958740234375,510.2916259765625
_08105_,A,521.9167,349.78546,521.9166870117188,350.08331298828125,349.78546142578125,517.4020385742188
P1.IR[19]$_DFF_PP0_,Q,502.06253,315.65628,502.0625305175781,369.9374694824219,315.6562805175781,551.5312194824219
_07620_,A1,507.56253,585.59375,507.5625305175781,364.4374694824219,585.59375,281.59375
_07616_,A1,499.70212,585.80206,499.7021179199219,372.2978820800781,585.8020629882812,281.38543701171875
_07611_,A,501.56253,613.7084,501.5625305175781,370.4374694824219,613.7083740234375,253.4791259765625
_07609_,A1,514.7083,599.4688,514.7083129882812,357.29168701171875,599.4688110351562,267.71868896484375
_07536_,A2,511.85837,614.8646,511.8583679199219,360.1416320800781,614.8646240234375,252.3228759765625
_07526_,C,517.5625,586.3958,517.5625,354.4375,586.3958129882812,280.79168701171875
_07504_,C,509.30627,593.0209,509.3062744140625,362.6937255859375,593.0208740234375,274.1666259765625
P1.IR[1]$_DFF_PP0_,Q,502.06253,634.7813,502.0625305175781,369.9374694824219,634.7813110351562,232.40618896484375
_07494_,A,539.625,301.15628,539.625,332.375,301.1562805175781,566.0312194824219
_07495_,A2_N,544.775,300.98962,544.7750244140625,327.2249755859375,300.9896240234375,566.1978759765625
_07499_,C1,542.4375,266.46875,542.4375,329.5625,266.46875,600.71875
_07501_,A,512.69165,335.84378,512.691650390625,359.308349609375,335.8437805175781,531.3437194824219
_07626_,B,503.23962,266.8854,503.2396240234375,368.7603759765625,266.8854064941406,600.3020935058594
_07653_,C,521.4375,273.77084,521.4375,350.5625,273.7708435058594,593.4166564941406
_07831_,D,521.67706,266.8854,521.6770629882812,350.32293701171875,266.8854064941406,600.3020935058594
_07841_,B,504.9167,280.34375,504.91668701171875,367.08331298828125,280.34375,586.84375
P1.IR[20]$_DFF_PP0_,Q,551.0625,274.03125,551.0625,320.9375,274.03125,593.15625
_07508_,B,489.9167,273.40625,489.91668701171875,382.08331298828125,273.40625,593.78125
_07523_,D,486.80627,266.95834,486.8062744140625,385.1937255859375,266.9583435058594,600.2291564941406
